epoch,train_loss,test_accuracy
1,0.398452,0.947828
2,-0.370936,0.952801
3,-0.458682,0.945087
4,-13.194000,0.939302
5,447.824738,0.940926
6,411.073181,0.937069
7,-35317.082031,0.940520
8,-163632.343750,0.925599
9,617376.625000,0.945798
10,-641505.062500,0.938997
11,-3880266.000000,0.940926
12,14451958.000000,0.943057
13,-19680294.000000,0.947625
14,-8347558.500000,0.945696
15,-87964688.000000,0.939809
16,-66288888.000000,0.936663
17,-235724880.000000,0.941332
18,212351808.000000,0.939708
19,-143533616.000000,0.943971
20,-426547200.000000,0.942651
21,-679358656.000000,0.943057
22,-531979008.000000,0.943260
23,-1603722368.000000,0.944681
24,-226010704.000000,0.941738
25,-1958518528.000000,0.942042
26,1123900416.000000,0.937576
27,-5188961792.000000,0.944580
28,-800749248.000000,0.943463
29,-241254240.000000,0.942956
30,-9215647744.000000,0.946813
31,-7679949312.000000,0.945899
32,-9311553536.000000,0.947828
33,-10925339648.000000,0.943565
34,-11305560064.000000,0.939606
35,-4098436352.000000,0.946407
36,-14051303424.000000,0.944377
37,-14668502016.000000,0.944478
38,-39221190656.000000,0.945189
39,-47311384576.000000,0.946204
40,-9104011264.000000,0.942448
41,-11012518912.000000,0.944377
42,-3104032768.000000,0.944681
43,-71488700416.000000,0.941433
44,-39664320512.000000,0.944783
45,3712731648.000000,0.943565
46,-50924236800.000000,0.943057
47,-8657959936.000000,0.943869
48,-117974212608.000000,0.941839
49,-62581256192.000000,0.944884
50,-112280772608.000000,0.942042
51,-133972664320.000000,0.942651
52,-128941539328.000000,0.945290
53,-59603791872.000000,0.941839
54,-111933997056.000000,0.943971
55,-186574225408.000000,0.944174
56,-85912756224.000000,0.943463
57,-129161355264.000000,0.942854
58,-209223303168.000000,0.944377
59,-122948173824.000000,0.944377
60,-207247769600.000000,0.944275
61,-201191473152.000000,0.945392
62,-305422303232.000000,0.944174
63,-170444406784.000000,0.943463
64,-280294785024.000000,0.946001
65,81432682496.000000,0.943159
66,-266674421760.000000,0.943869
67,-69485273088.000000,0.946102
68,-692963901440.000000,0.941941
69,-261876695040.000000,0.945696
70,43554340864.000000,0.942753
71,-554298966016.000000,0.945290
72,-226452865024.000000,0.943159
73,-663249682432.000000,0.942144
74,-785274634240.000000,0.942448
75,-281631981568.000000,0.945798
76,-505508233216.000000,0.941433
77,2477778176.000000,0.943768
78,-532342538240.000000,0.943057
79,-708002775040.000000,0.943768
80,-1473728348160.000000,0.944580
81,-57346101248.000000,0.942956
82,499037569024.000000,0.945696
83,-993363492864.000000,0.945696
84,-621162856448.000000,0.940012
85,-634802077696.000000,0.942753
86,-1523833896960.000000,0.941230
87,-1684791885824.000000,0.944377
88,-1499982594048.000000,0.944174
89,-2342815531008.000000,0.942550
90,-957716365312.000000,0.943768
91,34624311296.000000,0.943768
92,-604356673536.000000,0.943565
93,-1015533142016.000000,0.941535
94,-938218356736.000000,0.942245
95,-408283119616.000000,0.943463
96,-457778987008.000000,0.942042
97,-3089959485440.000000,0.939302
98,-3361033420800.000000,0.944478
99,-22049566720.000000,0.943159
100,-2225666785280.000000,0.942550
1,0.155666,0.942550
2,-0.027875,0.945189
3,-10.215579,0.933516
4,-321.251434,0.939708
5,-856.324646,0.941636
6,-35340.152344,0.941738
7,-238484.734375,0.944072
8,378278.531250,0.947828
9,-1342243.125000,0.941738
10,-14642976.000000,0.949249
11,15244493.000000,0.944275
12,-15990754.000000,0.941941
13,-104560304.000000,0.939200
14,-138167136.000000,0.947320
15,-197500608.000000,0.943463
16,-266485408.000000,0.947523
17,-521510592.000000,0.943666
18,-262426496.000000,0.946813
19,-1247216384.000000,0.928136
20,-604938368.000000,0.944681
21,-908512000.000000,0.943869
22,-2642299648.000000,0.947117
23,-3479383040.000000,0.945798
24,-1061479232.000000,0.943565
25,-7100086784.000000,0.944783
26,-3448388864.000000,0.945899
27,5562663936.000000,0.940621
28,-8514783744.000000,0.943159
29,-12863997952.000000,0.945087
30,-30841968640.000000,0.942651
31,-17585006592.000000,0.944377
32,-16303614976.000000,0.946407
33,-10274369536.000000,0.940215
34,4757169664.000000,0.949046
35,-9661569024.000000,0.944072
36,-31503915008.000000,0.943463
37,-28860272640.000000,0.941941
38,17291354112.000000,0.942753
39,-28148795392.000000,0.946610
40,-25188159488.000000,0.944783
41,-56473530368.000000,0.944580
42,-52746182656.000000,0.942854
43,-15222908928.000000,0.944377
44,-77110280192.000000,0.938896
45,-14634011648.000000,0.946001
46,-89584549888.000000,0.945087
47,-53154365440.000000,0.943666
48,-89573851136.000000,0.942550
49,-86831038464.000000,0.945493
50,-318601003008.000000,0.942651
51,20193658880.000000,0.941433
52,-220106702848.000000,0.944377
53,-222765203456.000000,0.944478
54,-60492955648.000000,0.944478
55,-10480158720.000000,0.942448
56,28749826048.000000,0.944884
57,-273953865728.000000,0.942854
58,-326087409664.000000,0.941636
59,-69581668352.000000,0.943463
60,-490067099648.000000,0.941129
61,107885371392.000000,0.945899
62,-885500215296.000000,0.945493
63,-394603200512.000000,0.942448
64,295628963840.000000,0.942956
65,-378984300544.000000,0.944275
66,-589253181440.000000,0.944681
67,-820541259776.000000,0.940520
68,-608119291904.000000,0.945290
69,-280100765696.000000,0.942347
70,-1695465472000.000000,0.944478
71,-234677272576.000000,0.942956
72,-161271267328.000000,0.944478
73,-1712665264128.000000,0.942651
74,-1171536609280.000000,0.941941
75,-529802199040.000000,0.938287
76,-384914259968.000000,0.943971
77,-1103366717440.000000,0.943463
78,-2803538853888.000000,0.942854
79,559268036608.000000,0.943362
80,-451332014080.000000,0.942448
81,-1522584256512.000000,0.941941
82,-2230801661952.000000,0.943362
83,-2159721316352.000000,0.942448
84,-1728290357248.000000,0.942245
85,-718819753984.000000,0.943971
86,-4279885365248.000000,0.942550
87,-1324003229696.000000,0.943565
88,-569009635328.000000,0.941332
89,-1744605151232.000000,0.943057
90,-2730397270016.000000,0.942854
91,-2133636546560.000000,0.943057
92,-2108858302464.000000,0.941027
93,-3784219295744.000000,0.943057
94,-3269019041792.000000,0.943768
95,1267602161664.000000,0.942347
96,-2331460763648.000000,0.942956
97,-410967572480.000000,0.942448
98,-1854348197888.000000,0.941636
99,-3376830742528.000000,0.943057
100,-433910579200.000000,0.942753
1,0.364796,0.949655
2,-1.168050,0.942550
3,4.123033,0.934024
4,59.812527,0.943666
5,-141.398895,0.947117
6,-3159.536133,0.932095
7,-75892.187500,0.940824
8,270148.218750,0.949147
9,-1811439.125000,0.948944
10,4455546.500000,0.952903
11,-6534739.500000,0.949858
12,-38186908.000000,0.954832
13,-10407563.000000,0.949147
14,-135540272.000000,0.949553
15,-344338848.000000,0.949756
16,-532132768.000000,0.946914
17,-822103424.000000,0.955136
18,-1480611840.000000,0.955136
19,1278191744.000000,0.952903
20,-1885881600.000000,0.951076
21,-687237696.000000,0.949553
22,112711784.000000,0.943057
23,-7819254272.000000,0.953106
24,-7104943104.000000,0.952903
25,-559762368.000000,0.950670
26,-10115445760.000000,0.951482
27,-3164084992.000000,0.949147
28,-8844301312.000000,0.947929
29,-37466660864.000000,0.948944
30,-29802002432.000000,0.946508
31,-7026384896.000000,0.947422
32,-51422711808.000000,0.952497
33,-5438323200.000000,0.947016
34,-67357777920.000000,0.946813
35,-6122292736.000000,0.950061
36,-48468963328.000000,0.948437
37,-79770443776.000000,0.949147
38,-95542616064.000000,0.947929
39,-4516571136.000000,0.952801
40,79034294272.000000,0.951786
41,-6069739008.000000,0.948335
42,-200335671296.000000,0.950061
43,-20958160896.000000,0.949959
44,-80599343104.000000,0.951685
45,-172726140928.000000,0.948031
46,-160640024576.000000,0.947929
47,-211933265920.000000,0.948538
48,-374250733568.000000,0.946813
49,-436279541760.000000,0.949756
50,-151389110272.000000,0.951076
51,-482994585600.000000,0.949553
52,-234045423616.000000,0.949452
53,55450079232.000000,0.951685
54,332938706944.000000,0.948640
55,-621639892992.000000,0.949046
56,-517198184448.000000,0.948538
57,-831710756864.000000,0.944275
58,-5417743872.000000,0.951888
59,-208247341056.000000,0.949147
60,211599196160.000000,0.948843
61,-1186354036736.000000,0.948437
62,-371151863808.000000,0.948132
63,-1835750653952.000000,0.950264
64,-1130527457280.000000,0.948335
65,-1330107645952.000000,0.948843
66,-1441415299072.000000,0.946813
67,337198317568.000000,0.951482
68,-3714364735488.000000,0.949959
69,362284941312.000000,0.948335
70,-2420115243008.000000,0.947117
71,-1474915336192.000000,0.950568
72,-393079816192.000000,0.948640
73,-3426576498688.000000,0.951482
74,-3844484104192.000000,0.947117
75,-1729028947968.000000,0.948944
76,-4105366142976.000000,0.948234
77,-3908351033344.000000,0.949249
78,-1103040348160.000000,0.950365
79,-5537372569600.000000,0.950670
80,862640209920.000000,0.951583
81,-2432968687616.000000,0.949655
82,-3252691140608.000000,0.949553
83,-2648069373952.000000,0.947219
84,-4573264084992.000000,0.950467
85,-3846922043392.000000,0.950467
86,-9122406727680.000000,0.948944
87,145150066688.000000,0.950771
88,-6807299293184.000000,0.950365
89,-6922904272896.000000,0.948741
90,-2991906095104.000000,0.950873
91,-275393380352.000000,0.951583
92,-7110600425472.000000,0.947523
93,-8238440382464.000000,0.947828
94,-7074698231808.000000,0.950365
95,-5604749344768.000000,0.948234
96,-99294576640.000000,0.948843
97,-14057288499200.000000,0.951380
98,-4738675900416.000000,0.948741
99,-8122214121472.000000,0.948437
100,-10786828189696.000000,0.949655
1,0.035199,0.944681
2,0.408084,0.928136
3,20.206446,0.944275
4,-111.405479,0.913013
5,5638.038574,0.932806
6,-29036.224609,0.944783
7,-189600.968750,0.942651
8,-149849.359375,0.939606
9,-4251545.500000,0.947422
10,-15623266.000000,0.943565
11,-1791637.000000,0.937373
12,-35987936.000000,0.939505
13,-121881792.000000,0.937881
14,-87237392.000000,0.941027
15,21885534.000000,0.938693
16,17652668.000000,0.943159
17,22247770.000000,0.937881
18,-119770608.000000,0.937982
19,-315849088.000000,0.935952
20,-2432843008.000000,0.938185
21,-1432412160.000000,0.934836
22,-249114080.000000,0.940317
23,-2430266624.000000,0.935445
24,-5653697024.000000,0.935343
25,-12369964032.000000,0.936663
26,-3066615552.000000,0.935952
27,-5258137600.000000,0.937272
28,-8622912512.000000,0.930674
29,-15085524992.000000,0.934836
30,-25368219648.000000,0.935445
31,-30595506176.000000,0.936460
32,-22496280576.000000,0.935242
33,-5954061312.000000,0.932400
34,-47419215872.000000,0.936054
35,-60544937984.000000,0.934937
36,-14659066880.000000,0.933110
37,-48940228608.000000,0.934937
38,-33930446848.000000,0.933922
39,-97590812672.000000,0.932298
40,-22337273856.000000,0.926512
41,-151996547072.000000,0.934734
42,15235140608.000000,0.933415
43,-58989973504.000000,0.932197
44,38315548672.000000,0.927223
45,53460480000.000000,0.930978
46,2772538368.000000,0.929151
47,-163126640640.000000,0.928542
48,66939105280.000000,0.929659
49,-30229977088.000000,0.930877
50,137071894528.000000,0.931283
51,129183653888.000000,0.929760
52,133047435264.000000,0.933618
53,-53185490944.000000,0.919509
54,-310723084288.000000,0.929557
55,-958842601472.000000,0.929760
56,-595226394624.000000,0.930877
57,-718483226624.000000,0.927933
58,-1435106934784.000000,0.926208
59,-980668645376.000000,0.929760
60,-1083979137024.000000,0.931181
61,-794539065344.000000,0.931283
62,-1182911430656.000000,0.930065
63,-20250669056.000000,0.925599
64,-419795402752.000000,0.928238
65,-1555803275264.000000,0.928339
66,-737662730240.000000,0.927426
67,-1585430528000.000000,0.927324
68,-2172647768064.000000,0.925396
69,-767190040576.000000,0.924381
70,2740343040.000000,0.927223
71,-2863169011712.000000,0.928441
72,-1503368445952.000000,0.926918
73,-2770816466944.000000,0.927426
74,-1403340849152.000000,0.923366
75,-911487074304.000000,0.923467
76,-1829552783360.000000,0.926918
77,-765831872512.000000,0.923772
78,-269446070272.000000,0.926208
79,71505846272.000000,0.923873
80,-829609345024.000000,0.921640
81,819328253952.000000,0.925497
82,-2404649795584.000000,0.922046
83,-6421682323456.000000,0.922148
84,1487157198848.000000,0.920930
85,-7130315227136.000000,0.919509
86,3519650725888.000000,0.920524
87,-4382992367616.000000,0.919610
88,-2514724061184.000000,0.926106
89,3028804698112.000000,0.918595
90,-3315540426752.000000,0.919915
91,-8546600091648.000000,0.922960
92,579733159936.000000,0.918595
93,-2747784757248.000000,0.916768
94,106533994496.000000,0.917073
95,-9326239416320.000000,0.911896
96,-11998544789504.000000,0.900325
97,-3328409862144.000000,0.900832
98,3862720937984.000000,0.890073
99,2780589719552.000000,0.897381
100,1355988205568.000000,0.884084
1,-0.207947,0.942245
2,-0.144316,0.920625
3,2.609512,0.933415
4,-14.406651,0.949350
5,118.810532,0.939911
6,3364.836426,0.944174
7,-131177.453125,0.942347
8,-499489.312500,0.938896
9,-789778.625000,0.949452
10,-3993147.250000,0.947219
11,-4858375.500000,0.946711
12,2089919.375000,0.946407
13,-31695330.000000,0.943260
14,-74060864.000000,0.947523
15,-112392784.000000,0.949046
16,-216382080.000000,0.946711
17,-302394624.000000,0.946204
18,-361491936.000000,0.947726
19,-545378944.000000,0.944377
20,-153542608.000000,0.948335
21,-1665580416.000000,0.947828
22,-1119073536.000000,0.945798
23,-1938567552.000000,0.946305
24,-1479797888.000000,0.949452
25,-4864421376.000000,0.945290
26,-8187823104.000000,0.946204
27,-9941452800.000000,0.947422
28,-8642365440.000000,0.948437
29,-32599202.000000,0.944884
30,6039730688.000000,0.945290
31,-13951432704.000000,0.942144
32,-16170622976.000000,0.942854
33,-11301598208.000000,0.944884
34,-43934187520.000000,0.948031
35,-49755766784.000000,0.942651
36,-44565557248.000000,0.945189
37,-22250031104.000000,0.944884
38,-69095055360.000000,0.945392
39,-100417970176.000000,0.945493
40,-37447843840.000000,0.943869
41,-100639637504.000000,0.945392
42,-106532921344.000000,0.948843
43,-183181033472.000000,0.945798
44,-152625938432.000000,0.943768
45,-189249748992.000000,0.944478
46,-52682768384.000000,0.947523
47,-209766334464.000000,0.947422
48,88115445760.000000,0.943971
49,-48760139776.000000,0.945696
50,-312353914880.000000,0.944478
51,-395508908032.000000,0.943971
52,-200636252160.000000,0.945899
53,-667509653504.000000,0.942042
54,-56739430400.000000,0.946813
55,-139326652416.000000,0.945798
56,-567037788160.000000,0.947117
57,-137813852160.000000,0.942042
58,-175787130880.000000,0.948132
59,-1042835308544.000000,0.943869
60,-155762081792.000000,0.943971
61,-111892496384.000000,0.945087
62,-604025913344.000000,0.946001
63,-270133346304.000000,0.945696
64,-689781604352.000000,0.943463
65,-243002687488.000000,0.945189
66,-513468563456.000000,0.945493
67,-821424291840.000000,0.943768
68,-172845367296.000000,0.942144
69,-448716046336.000000,0.945087
70,-312503861248.000000,0.945189
71,-1702415171584.000000,0.943565
72,42408497152.000000,0.945696
73,-2283037786112.000000,0.944681
74,-554009362432.000000,0.946305
75,-2831896281088.000000,0.942448
76,52198526976.000000,0.943057
77,-1587955761152.000000,0.944580
78,313686654976.000000,0.943159
79,-2343523319808.000000,0.944174
80,-1016289034240.000000,0.946610
81,-2820687003648.000000,0.944174
82,-6750530961408.000000,0.946407
83,-1925119737856.000000,0.944986
84,-3470719451136.000000,0.945595
85,-6201877200896.000000,0.945290
86,-1257208414208.000000,0.942753
87,-4290325250048.000000,0.943768
88,-3485191634944.000000,0.943971
89,-4454629769216.000000,0.946001
90,-2076859039744.000000,0.946407
91,-6480547807232.000000,0.942448
92,-5258963582976.000000,0.946610
93,-3842981494784.000000,0.944884
94,-6194908889088.000000,0.944275
95,-6027047075840.000000,0.942245
96,-6961127489536.000000,0.944681
97,444233252864.000000,0.946711
98,-5803113709568.000000,0.945087
99,-7994580926464.000000,0.941839
100,-7277182976000.000000,0.944174
