epoch,train_loss,test_accuracy
1,0.146229,0.940231
2,0.115520,0.969466
3,0.080569,0.961832
4,0.222477,0.948027
5,0.232718,0.980835
6,0.064320,0.972876
7,0.179065,0.979048
8,0.142951,0.976287
9,0.187103,0.986844
10,0.014851,0.981322
11,0.081190,0.978236
12,0.073363,0.977911
13,0.118324,0.983596
14,0.186758,0.977586
15,0.050393,0.975150
16,0.030004,0.980510
17,0.067242,0.974825
18,0.118106,0.984246
19,0.161312,0.956310
20,0.134363,0.971415
21,0.084252,0.979373
22,0.274553,0.979535
23,0.137207,0.974825
24,0.059103,0.981972
25,0.136246,0.979211
26,0.136431,0.980348
27,0.111901,0.979373
28,0.118680,0.979860
29,0.077714,0.980510
30,0.077433,0.983109
31,0.054279,0.978236
32,0.024996,0.980672
33,0.095208,0.983271
34,0.153700,0.983596
35,0.094750,0.979048
36,0.103043,0.980023
37,0.166580,0.971090
38,0.202079,0.983271
39,0.048852,0.983109
40,0.064525,0.984246
41,0.056597,0.983271
42,0.189693,0.983271
43,0.120652,0.984895
44,0.089567,0.981972
45,0.100494,0.985382
46,0.133677,0.980348
47,0.074123,0.981647
48,0.083160,0.981809
49,0.034933,0.979698
50,0.162627,0.985058
51,0.181816,0.983433
52,0.106533,0.987494
53,0.127055,0.983433
54,0.103559,0.978236
55,0.070613,0.977424
56,0.068440,0.985707
57,0.073244,0.987819
58,0.095805,0.982134
59,0.133907,0.983433
60,0.083465,0.982784
61,0.079746,0.985870
62,0.159831,0.985382
63,0.103464,0.984246
64,0.058026,0.962969
65,0.038858,0.981160
66,0.101988,0.988144
67,0.108437,0.987169
68,0.130706,0.987494
69,0.106033,0.987007
70,0.100122,0.983271
71,0.095189,0.984246
72,0.048009,0.980835
73,0.061962,0.987007
74,0.060512,0.985220
75,0.053282,0.983433
76,0.067424,0.986195
77,0.069940,0.987169
78,0.116361,0.986519
79,0.098105,0.984083
80,0.049917,0.986032
81,0.106387,0.986682
82,0.116328,0.983921
83,0.064872,0.984570
84,0.078555,0.980185
85,0.105924,0.986195
86,0.062343,0.980510
87,0.099814,0.990417
88,0.046078,0.981647
89,0.044317,0.985382
90,0.090798,0.984083
91,0.052485,0.984246
92,0.059010,0.985220
93,0.057491,0.987494
94,0.102232,0.981484
95,0.080377,0.984246
96,0.098219,0.981647
97,0.058225,0.988306
98,0.033557,0.987169
99,0.107098,0.987331
100,0.070655,0.984246
1,0.181193,0.959233
2,0.259880,0.977424
3,0.218464,0.983109
4,0.092088,0.978723
5,0.143891,0.970603
6,0.215549,0.972714
7,0.145383,0.984083
8,0.132005,0.984570
9,0.215376,0.977099
10,0.074862,0.980835
11,0.166667,0.979698
12,0.188080,0.984083
13,0.139039,0.978723
14,0.131754,0.980510
15,0.125299,0.977586
16,0.061674,0.978886
17,0.028967,0.984895
18,0.157344,0.976612
19,0.056869,0.976125
20,0.077422,0.982621
21,0.129470,0.964106
22,0.049374,0.974176
23,0.145339,0.984083
24,0.098070,0.984083
25,0.128956,0.976125
26,0.084852,0.982946
27,0.186732,0.981972
28,0.134509,0.977586
29,0.066166,0.986032
30,0.110809,0.982621
31,0.086422,0.980997
32,0.170238,0.982134
33,0.079146,0.985382
34,0.114184,0.980835
35,0.109891,0.980672
36,0.067093,0.979211
37,0.086689,0.985058
38,0.122627,0.981972
39,0.050079,0.984570
40,0.243354,0.985545
41,0.084363,0.986032
42,0.098530,0.982784
43,0.075096,0.980835
44,0.084508,0.984895
45,0.219216,0.983758
46,0.075812,0.984083
47,0.215838,0.975150
48,0.154384,0.983921
