epoch,train_loss,test_accuracy
1,0.154651,0.958584
2,0.057899,0.976937
3,0.034347,0.974663
4,0.244427,0.956472
5,0.213364,0.980835
6,0.017477,0.972552
7,0.000000,0.972227
8,0.000000,0.979535
9,0.108508,0.980672
10,0.000000,0.972227
11,0.000000,0.976125
12,0.011145,0.979373
13,0.046603,0.980510
14,0.275712,0.979535
15,0.000000,0.966542
16,0.000000,0.947702
17,0.000000,0.972389
18,0.000000,0.974501
19,0.024767,0.978236
20,0.000000,0.976612
21,0.000000,0.979860
22,0.409757,0.979048
23,0.108379,0.971739
24,0.000000,0.974663
25,0.034973,0.979698
26,0.000000,0.972876
27,0.000000,0.976125
28,0.000000,0.962157
29,0.000000,0.963131
30,0.000000,0.980835
31,0.000000,0.979698
32,0.000000,0.983758
33,0.030196,0.960533
34,0.629357,0.972227
35,0.000000,0.980997
36,0.081760,0.980510
37,0.000000,0.978074
38,0.000000,0.969628
39,0.000000,0.967679
40,0.000000,0.972227
41,0.000000,0.979535
42,0.210131,0.978074
43,0.056611,0.967354
44,0.000000,0.967679
45,0.000000,0.980997
46,0.000000,0.983433
47,0.051482,0.958909
48,0.000000,0.968978
49,0.002084,0.957447
50,0.116176,0.968816
51,0.000000,0.973039
52,0.000000,0.969303
53,0.000000,0.978074
54,0.370974,0.974338
55,0.052389,0.977099
56,0.000000,0.976612
57,0.000000,0.983921
58,0.128235,0.970927
59,0.000000,0.981160
60,0.000000,0.969303
61,0.000000,0.982784
62,0.000000,0.977749
63,0.109294,0.977911
64,0.000000,0.983758
65,0.000000,0.983921
66,0.000000,0.984246
67,0.000000,0.978886
68,0.357340,0.967354
69,0.000000,0.978074
70,0.000000,0.973201
71,0.000000,0.968978
72,0.132443,0.981972
73,0.000000,0.980023
74,0.000000,0.985545
75,0.000000,0.974176
76,0.028671,0.978723
77,0.000000,0.976450
78,0.000000,0.977424
79,0.010287,0.977424
80,0.184526,0.978723
81,0.116750,0.964756
82,0.000000,0.978074
83,0.000000,0.979048
84,0.000000,0.977262
85,0.000000,0.982459
86,0.127268,0.977099
87,0.000000,0.973039
88,0.000000,0.974176
89,0.000000,0.974825
90,0.000000,0.974663
91,0.000000,0.971415
92,0.000000,0.976612
93,0.000000,0.957284
94,0.000000,0.982946
95,0.021617,0.972714
96,0.414741,0.979048
97,0.000000,0.982784
98,0.000000,0.977586
99,0.033632,0.973526
100,0.000000,0.961994
1,0.163130,0.965405
2,0.220285,0.978723
3,0.166023,0.985545
4,0.067018,0.970115
5,0.063066,0.972227
6,0.290019,0.972227
7,0.000000,0.982621
8,0.052147,0.981972
9,0.142561,0.977424
10,0.088479,0.970603
11,0.125247,0.973688
12,0.163839,0.980510
13,0.000000,0.974825
14,0.064941,0.975313
15,0.000000,0.956147
16,0.000000,0.968329
17,0.000000,0.974663
18,0.067915,0.978399
19,0.000000,0.976612
20,0.000000,0.979698
21,0.033011,0.978561
22,0.000000,0.975962
23,0.000000,0.979698
24,0.000000,0.975637
25,0.007631,0.972552
26,0.000000,0.981160
27,0.000000,0.977099
28,0.000000,0.979860
29,0.000000,0.983271
30,0.006570,0.970278
31,0.025758,0.969953
32,0.000000,0.974501
33,0.000000,0.981484
34,0.000000,0.966055
35,0.000000,0.974338
36,0.000000,0.950788
37,0.000000,0.971090
38,0.164700,0.969790
39,0.000000,0.976612
40,0.000000,0.974988
41,0.000000,0.968816
42,0.228753,0.975150
43,0.000000,0.976612
44,0.063436,0.969303
45,0.405100,0.968491
46,0.000000,0.968329
47,0.156365,0.970440
48,0.000000,0.951925
49,0.200314,0.970115
50,0.000000,0.983433
51,0.000000,0.981972
52,0.014588,0.978561
53,0.060732,0.979535
54,0.123324,0.971252
55,0.030194,0.974176
56,0.000000,0.978723
57,0.000000,0.978723
58,0.000000,0.970927
59,0.000000,0.968329
60,0.000000,0.968654
61,0.000000,0.972389
62,0.000000,0.960208
63,0.000000,0.972876
64,0.108534,0.977262
65,0.000000,0.973851
66,0.000000,0.972876
67,0.000000,0.970440
68,0.060297,0.934384
69,0.000000,0.975962
70,0.000000,0.982297
71,0.000000,0.975313
72,0.000000,0.936170
73,0.000000,0.980672
74,0.000000,0.977749
