epoch,train_loss,test_accuracy
1,0.264746,0.942661
2,0.171433,0.961468
3,0.334504,0.970183
4,0.186030,0.977064
5,0.116555,0.978899
6,0.394752,0.972936
7,0.329843,0.984404
8,0.093186,0.973853
9,0.197478,0.981651
10,0.145850,0.986239
11,0.102607,0.987156
12,0.193836,0.988532
13,0.211971,0.989450
14,0.115247,0.974771
15,0.233903,0.986239
16,0.223911,0.988532
17,0.179446,0.988073
18,0.120303,0.987615
19,0.212889,0.982569
20,0.213038,0.988991
21,0.241386,0.988073
22,0.276816,0.980734
23,0.335467,0.986697
24,0.197691,0.990367
25,0.215790,0.985780
26,0.249305,0.980275
27,0.055775,0.983028
28,0.101280,0.988991
29,0.190282,0.986697
30,0.347026,0.990367
31,0.310723,0.988073
32,0.226227,0.988991
33,0.238304,0.987156
34,0.225367,0.989908
35,0.265600,0.989450
36,0.188613,0.988991
37,0.198865,0.990826
38,0.224016,0.992202
39,0.081657,0.988532
40,0.340413,0.985780
41,0.238694,0.989450
42,0.283081,0.986697
43,0.170065,0.989908
44,0.119988,0.988991
45,0.135037,0.987156
46,0.121171,0.988991
47,0.288097,0.982110
48,0.055509,0.980734
49,0.252029,0.989450
50,0.161711,0.990826
51,0.353882,0.977982
52,0.250433,0.991743
53,0.061034,0.987615
54,0.166873,0.987615
55,0.233205,0.989450
56,0.129721,0.989450
57,0.166853,0.987156
58,0.248435,0.988073
59,0.149505,0.984404
60,0.191519,0.987615
61,0.312131,0.988991
62,0.141831,0.989450
63,0.154168,0.989908
64,0.295413,0.985321
65,0.261521,0.985780
66,0.365779,0.989450
67,0.273467,0.987615
68,0.122347,0.988532
69,0.122936,0.989450
70,0.100442,0.989450
71,0.102815,0.981651
72,0.205464,0.987156
73,0.270985,0.988991
74,0.354773,0.988073
75,0.205852,0.986697
76,0.082982,0.984862
77,0.116353,0.988991
78,0.296677,0.985780
79,0.173283,0.978440
80,0.147139,0.987615
81,0.301045,0.988073
82,0.246852,0.986239
83,0.144416,0.985780
84,0.272009,0.983945
85,0.116002,0.983945
86,0.113627,0.990367
87,0.375845,0.986239
88,0.230851,0.984862
89,0.239617,0.985321
90,0.087531,0.987156
91,0.151272,0.988991
92,0.256949,0.988073
93,0.181923,0.988991
94,0.326103,0.987615
95,0.172144,0.988991
96,0.207455,0.986697
97,0.088046,0.984862
98,0.272552,0.985780
99,0.168336,0.989908
100,0.182417,0.986239
1,0.345395,0.919266
2,0.216531,0.938991
3,0.125621,0.940367
4,0.241840,0.958716
5,0.437877,0.965138
6,0.131365,0.971101
7,0.137141,0.974312
8,0.071777,0.970642
9,0.300676,0.976147
10,0.179464,0.980734
11,0.182182,0.985780
12,0.112539,0.983486
13,0.240754,0.983945
14,0.130824,0.980275
15,0.235267,0.966514
16,0.179899,0.985780
17,0.216794,0.975688
18,0.065934,0.980275
19,0.268510,0.982569
20,0.127328,0.986239
21,0.159389,0.990826
22,0.221540,0.987615
23,0.074247,0.978899
24,0.243718,0.987615
25,0.184139,0.984404
26,0.232375,0.972936
27,0.073672,0.988532
28,0.223929,0.982569
29,0.224413,0.983486
30,0.332708,0.985321
31,0.176749,0.989908
32,0.108057,0.988073
33,0.294918,0.986697
34,0.283823,0.990367
35,0.201293,0.990826
36,0.092112,0.992202
37,0.144145,0.988532
38,0.267099,0.986239
39,0.126749,0.992661
40,0.173486,0.991284
41,0.167919,0.990826
42,0.259047,0.987156
43,0.106422,0.984862
44,0.201501,0.990367
45,0.303406,0.991284
46,0.077501,0.976147
47,0.162174,0.974312
48,0.204977,0.987156
49,0.398459,0.990367
50,0.227694,0.980734
51,0.191314,0.991284
52,0.266671,0.990367
53,0.137787,0.987156
54,0.272901,0.986697
55,0.102856,0.987615
56,0.133196,0.987615
57,0.078608,0.983486
58,0.163805,0.987156
59,0.178980,0.989450
60,0.181908,0.989908
61,0.189774,0.981193
62,0.282345,0.992202
63,0.256056,0.985321
64,0.325497,0.982569
65,0.299040,0.989908
66,0.189085,0.983028
67,0.079417,0.986697
68,0.223320,0.985780
69,0.143648,0.985321
70,0.128754,0.989908
71,0.355932,0.990826
72,0.272338,0.989450
73,0.127270,0.988532
74,0.187851,0.986697
75,0.190034,0.989908
76,0.181096,0.990826
77,0.197634,0.987615
78,0.360519,0.992202
79,0.055467,0.990826
80,0.130083,0.988073
81,0.313804,0.981193
82,0.283064,0.987615
83,0.297557,0.989450
84,0.122190,0.988991
85,0.144019,0.990367
86,0.159955,0.991284
87,0.203702,0.988073
88,0.196251,0.991284
89,0.317215,0.983028
90,0.088179,0.988991
91,0.150754,0.987156
92,0.183201,0.988073
93,0.101448,0.988991
94,0.258838,0.987156
95,0.116978,0.988532
96,0.140141,0.989450
