epoch,train_loss,train_accuracy,test_accuracy
1,0.075748,0.978667,0.974400
2,0.055640,0.988467,0.984100
3,0.040761,0.991833,0.983600
4,0.001362,0.994717,0.984900
5,0.007247,0.995367,0.984700
6,0.001019,0.996800,0.984300
7,0.051501,0.996217,0.985400
8,0.001880,0.997417,0.985500
9,0.000810,0.997433,0.986000
10,0.001752,0.996783,0.987600
1,0.032234,0.982500,0.978900
2,0.045995,0.983050,0.978400
3,0.056941,0.991700,0.981800
4,0.026009,0.993300,0.984600
5,0.016476,0.994483,0.984900
6,0.017702,0.992350,0.979700
7,0.003328,0.995083,0.983200
8,0.007054,0.996017,0.985000
9,0.001949,0.996333,0.985600
10,0.002044,0.997783,0.986400
1,0.048815,0.979117,0.976000
2,0.026126,0.984367,0.976000
3,0.040487,0.992167,0.983800
4,0.009928,0.992417,0.983800
5,0.011687,0.995250,0.985100
6,0.015959,0.995533,0.985900
7,0.036421,0.997233,0.986000
8,0.016935,0.997833,0.986000
9,0.001588,0.997200,0.986800
10,0.015354,0.997217,0.985000
1,0.037429,0.979233,0.976400
2,0.137715,0.988017,0.981900
3,0.050355,0.992717,0.983700
4,0.007359,0.994083,0.984100
5,0.030509,0.993383,0.983500
6,0.041904,0.995600,0.983700
7,0.002076,0.995833,0.984700
8,0.006515,0.996850,0.986400
9,0.004985,0.997150,0.985500
10,0.009898,0.996467,0.984300
1,0.104135,0.981250,0.977900
2,0.006321,0.989000,0.981600
3,0.016961,0.992533,0.983500
4,0.036367,0.993800,0.982600
5,0.057808,0.995183,0.984000
6,0.034024,0.996717,0.987500
7,0.008403,0.997117,0.986100
8,0.004963,0.997333,0.986000
9,0.003764,0.996550,0.985900
10,0.008754,0.997567,0.988300
