epoch,train_loss,train_accuracy,test_accuracy
1,0.079267,0.985443,0.984993
2,0.029161,0.995223,0.994088
3,0.004886,0.996588,0.996817
4,0.006516,0.996929,0.996362
5,0.043363,0.998180,0.996817
6,0.022436,0.996816,0.994543
7,0.002016,0.995223,0.995452
8,0.000837,0.999204,0.997271
9,0.000473,0.998180,0.997271
10,0.000564,0.997384,0.995452
1,0.154023,0.984874,0.982265
2,0.042085,0.991016,0.989541
3,0.000724,0.997839,0.994998
4,0.017775,0.995451,0.993179
5,0.001934,0.998749,0.993633
6,0.023884,0.999318,0.996362
7,0.002022,0.998635,0.994998
8,0.000608,0.999204,0.994088
9,0.000334,0.999318,0.994998
10,0.006183,0.999090,0.995452
1,0.061492,0.989878,0.988176
2,0.077263,0.993518,0.992724
3,0.002554,0.996929,0.992724
4,0.025241,0.997157,0.992724
5,0.027690,0.996474,0.994543
6,0.058496,0.998408,0.995452
7,0.010013,0.997725,0.993179
8,0.000862,0.998067,0.994998
9,0.068168,0.996474,0.991360
10,0.001174,0.999431,0.995907
1,0.061562,0.985670,0.987267
2,0.046707,0.995110,0.994543
3,0.026261,0.996474,0.996817
4,0.006437,0.997498,0.999090
5,0.117237,0.997384,0.998181
6,0.003149,0.997953,0.998181
7,0.000736,0.998522,0.998181
8,0.005906,0.998408,0.998636
9,0.009073,0.998635,0.998181
10,0.001474,0.998749,0.996362
1,0.097229,0.984306,0.980446
2,0.009764,0.991812,0.988176
3,0.018697,0.993631,0.990905
4,0.022623,0.997271,0.994088
5,0.005523,0.998522,0.994088
6,0.015040,0.998522,0.996362
7,0.002053,0.998294,0.992724
8,0.001360,0.998067,0.992724
9,0.021145,0.993859,0.990905
10,0.001238,0.999090,0.996817
